ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45802203,36564,1091,4,526,2016,7,1,1,2.5,110969,4,0,1,1,0,1,4
45648175,314,779,7,268,2013,9,1,2,2.5,225510,4,0,1,1,0,14,12
45786421,5488,939.882352941176,7,849,2001,3,0,5,1.5,210000,4,1,1,1,1,13,3
45802120,30063,934,4,526,2015,10,1,1,2.5,148105,4,0,1,1,0,12,4
45809414,15800,769,1,289,2011,4,1,1,2.2,255456,4,0,1,1,0,12,4
45797480,43952,1249,4,526,2017,10,1,1,2.5,111643,4,0,1,1,0,7,4
45732043,53154,891,4,733,2016,4,1,1,2,84506,4,0,1,1,0,12,4
45816646,14740,645,7,643,2011,3,0,2,1.8,288000,4,0,1,1,0,14,8
45624039,42337,1266.6,2,630,2016,0,1,5,2.3,75000,4,2,2,0,0,12,6
45814804,3763,1053,6,605,2014,4,1,5,3.5,94362,6,0,2,1,0,14,12
45787521,18189,582.788167938931,7,643,2012,9,0,5,1.8,175000,4,0,1,1,0,12,8
45759890,862,2455,5,517,2008,4,1,5,2,263190,8,0,0,1,0,14,0
45758167,220,1185,2,409,2009,4,1,2,2.5,193614,4,0,1,1,0,14,0
45648538,5645,1324,7,535,2010,4,1,2,3.3,264877,6,0,0,1,0,14,12
45757322,7527,830,7,896,2019,9,1,5,1.5,27656,4,0,1,1,0,14,12
45800993,21953,1187,3,293,2014,9,0,2,1.4,16000,8,0,0,1,1,14,10
45765301,8154,1446.97098646035,3,312,1998,4,0,5,2,0,4,0,0,1,1,14,2
45771208,21953,781,7,268,2012,9,0,5,2.5,195053,4,0,1,1,0,1,0
45801684,19121,531,4,387,2012,9,1,5,1.6,121362,4,0,1,1,0,1,4
45732386,36065,639,4,733,2014,4,1,1,2,69191,4,0,1,1,0,14,4
43892866,8781,1111,3,425,2012,3,1,2,1.3,83000,4,2,1,1,1,6,12
45810403,6247,760,1,317,2010,9,1,5,1.8,40772,4,0,1,1,0,1,4
45810513,16289,642,1,639,2012,4,1,1,2,172000,4,0,1,1,0,7,4
45807330,14069,1604,6,496,2014,4,1,5,2,433811,8,0,0,1,0,1,10
45733554,2822,1338.90845620294,0,75,1995,9,1,5,2,350000,6,1,2,1,0,2,2
45792882,27284,891,4,387,2016,9,0,5,2,105394,4,2,1,1,0,1,12
45330228,32929,1338.90845620294,0,66,2013,1,1,5,2,160000,4,0,2,0,0,1,12
45749534,4234,1368,3,293,1997,3,1,5,1.4,0,4,1,1,0,0,2,6
45789555,15053,1429.8433516297,6,357,2004,9,1,5,3.2,214000,6,2,2,1,0,7,8
45797276,15458,966,4,522,2009,1,1,5,2,123346,4,0,1,1,0,1,4
45809760,2901,473,1,317,2014,9,1,5,1.4,80827,4,0,1,1,0,6,12
45813375,314,382,2,465,2015,9,1,2,2,91760,4,0,1,1,0,1,12
45756975,15681,1811,5,516,2010,4,1,5,4.6,275240,8,0,0,1,0,12,0
45776758,26657,1690.85714285714,6,769,2004,6,0,1,2.2,300000,4,1,2,1,0,14,1
45550733,10663,988,7,643,2007,3,0,5,1.5,318400,4,0,1,1,0,12,6
44094036,12858,765,2,455,2015,9,0,5,2,91200,4,0,1,1,0,13,10
45642797,1019,917,0,871,2013,4,1,1,3,137802,6,0,0,1,0,1,12
45760895,549,917,0,94,2013,9,1,2,3,151586,6,0,2,1,0,14,12
45783859,15000,1598,0,50,2008,9,1,0,3,210408,6,2,2,1,0,14,12
45808992,14069,1156,2,421,2017,4,1,5,2.3,100567,4,0,1,1,0,1,4
45731735,44752,1091,4,526,2016,10,1,1,2.5,86000,4,0,1,1,0,7,4
45797948,17158,687,4,387,2010,9,1,5,1.6,122740,4,0,1,1,0,14,4
45534351,11917,862,6,375,2003,9,1,5,2,150000,12,2,2,1,1,14,12
45624923,94,1599.33333333333,3,425,2003,3,0,5,1.5,178000,4,3,1,1,1,12,4
45803059,14897,836,4,733,2010,4,1,1,2,58962,4,0,1,1,0,14,4
45770405,23521,779,7,268,2013,9,1,2,2.5,90000,4,2,1,1,0,14,12
45767451,1019,1537,7,535,2009,9,1,2,3.3,318358,6,0,0,1,0,1,12
45636958,16935,765,2,465,2015,9,1,5,2,71454,4,0,1,1,0,1,0
45757670,19444,781,7,268,2012,9,1,5,2.5,0,4,2,1,1,0,1,6
45733244,11604,639,4,748,2014,9,1,4,2,346470,4,0,1,1,0,12,4
45802837,51965,891,4,733,2016,4,1,1,2,59515,4,0,1,1,0,2,4
45646428,706,394,7,268,2014,9,1,2,2.5,115312,4,0,1,1,0,7,12
45801896,9408,1082.27272727273,6,182,1999,9,0,1,2.2,111111,4,1,2,1,0,12,4
45797732,13328,1347,4,526,2008,7,1,1,2.5,74444,4,0,1,1,0,15,4
45732074,20071,1451.8,7,680,2008,4,0,5,2.4,135000,4,0,0,1,0,12,8
45731782,22894,862,4,526,2011,7,1,1,2.5,124444,4,0,1,1,0,15,4
45662111,2901,503,3,293,2012,9,1,2,1.5,146403,4,0,1,1,0,14,0
45764126,39829,1811,5,516,2010,4,1,5,4.6,155821,8,0,0,1,0,1,0
45768549,706,1646,5,516,2015,4,1,5,4.6,102907,8,0,0,1,0,1,0
44698379,18660,792.627815866797,4,748,2013,9,1,5,2.4,130000,4,2,1,1,0,1,6
45770233,22580,1017,6,355,2017,9,1,5,2,50930,4,0,2,1,0,1,12
45803455,11604,639,4,748,2014,9,1,4,2,264872,4,0,1,1,0,12,4
45760030,314,259,1,853,2014,3,1,2,1.4,131893,4,0,1,1,0,3,0
45759786,4300,1429.8433516297,6,13,1985,10,0,1,2.5,128965,4,1,2,1,0,1,1
45642844,18817,609,7,268,2018,9,1,2,2.5,35058,4,0,1,1,0,14,12
44921934,21169,697,3,545,2015,4,0,5,1.8,33330,4,0,0,1,0,7,8
45451626,17876,585,4,403,2013,9,1,5,1.8,117920,4,2,1,1,0,7,12
45732976,11290,891,4,748,2016,9,1,4,2,279787,4,0,1,1,0,12,4
44452971,36065,1399,7,740,2010,7,1,5,3.5,227200,6,2,1,1,0,14,16
45648000,862,394,7,268,2014,9,1,2,2.5,130478,4,0,1,1,0,14,12
45796845,21395,781,4,526,2012,10,1,1,2.5,166144,4,0,1,1,0,12,4
45733140,15681,891,4,748,2016,9,1,4,2,258706,4,0,1,1,0,12,4
45762282,627,475,1,853,2012,4,1,2,1.4,188419,4,0,1,1,0,11,0
45810003,40070,690,7,145,2016,3,1,5,1.5,25807,4,0,1,1,0,1,4
44875253,11917,1917,6,133,2008,3,0,5,1.7,180000,4,0,1,1,0,5,8
45807577,72130,1079,5,634,2018,4,1,5,2,18918,4,2,1,1,0,1,6
45801397,21012,308,7,643,2014,9,0,2,1.8,160000,4,0,0,1,0,14,4
45765622,21012,1823,7,792,2018,9,1,5,3.5,27358,6,0,1,1,0,7,12
45802035,15624,707,4,522,2011,1,1,5,2,107005,4,0,1,1,0,7,4
45801611,20005,531,4,387,2012,9,1,5,1.6,104997,4,0,1,1,0,14,4
45798511,7840,1429.8433516297,6,344,1998,9,1,5,2.4,128965,6,1,2,1,0,2,4
45802937,43880,891,4,733,2016,4,1,1,2,113700,4,0,1,1,0,12,4
45675386,29479,584,6,191,2014,9,1,5,1.8,69000,4,2,2,1,0,7,8
45795520,17249,757.14552238806,7,268,2011,9,1,2,2.5,152000,4,3,1,1,0,14,12
45778720,9408,872.02838865217,7,851,2003,10,0,5,1.5,181926,4,0,0,1,1,12,2
45802938,44213,891,4,733,2016,4,1,1,2,50255,4,0,1,1,0,11,4
45801304,8467,2078,0,46,2001,9,1,5,2.5,252800,6,1,2,1,0,7,6
45395938,21950,831,2,799,2011,2,0,1,2.4,125000,4,1,0,1,0,14,2
45766275,3136,473,1,317,2014,9,1,5,1.4,156992,4,0,1,1,0,1,12
45769518,314,1053,6,361,2014,9,1,1,3.5,149486,6,0,0,1,0,12,12
45776494,7840,1429.8433516297,6,826,2004,10,0,4,1.9,170000,4,2,1,1,0,12,4
45787317,56450,778,7,278,2018,9,1,5,2.5,25000,4,2,1,1,0,2,12
45772050,627,836,7,792,2012,9,1,5,2.7,394069,4,0,2,1,0,1,12
45771040,314,1053,6,361,2014,9,1,1,3.5,149486,6,0,0,1,0,12,12
45788160,13172,1994.5,3,312,2002,4,0,5,2.4,260000,4,0,0,1,0,12,6
45815974,706,751,4,748,2013,9,1,5,2.4,175827,4,0,1,1,0,1,12
45773662,5802,1055,6,361,2013,9,1,1,3.5,107800,6,0,2,1,0,7,12
45767823,25716,777,7,268,2014,9,0,5,2.5,115200,4,0,1,1,0,12,8
45810599,14426,642,1,639,2012,4,1,4,2,132036,4,0,1,1,0,14,4
45709646,10820,1451.8,7,680,2001,4,0,5,2,91000,4,0,0,0,1,12,4
45808960,45436,1172,2,421,2011,4,1,5,3.5,129177,4,0,1,1,0,14,4
45816333,11917,893,4,547,2008,3,0,1,1.6,201000,4,1,1,1,0,1,8
45802892,41281,765,4,733,2015,4,1,1,2,185811,4,0,1,1,0,1,4
45813342,6586,645,5,258,2011,3,1,2,1.8,122302,4,0,1,1,0,1,0
45798451,12544,888.488372093023,7,643,2007,3,0,2,1.5,140000,4,0,1,1,0,0,6
45803832,30063,639,4,817,2014,4,1,1,2,120000,4,0,1,1,0,14,4
45801000,21639,598.5,4,827,2015,3,0,5,1.6,17200,4,2,1,0,0,11,10
44782223,36692,872.02838865217,7,688,2013,4,0,5,2.5,120000,4,2,1,1,0,14,0
45721264,30,1599.33333333333,3,425,2002,3,0,5,1.5,0,4,0,1,1,1,12,4
45453314,12231,1266,7,145,2014,3,0,2,1.5,66000,4,3,1,1,1,12,4
45761984,3136,1785.66666666667,7,741,2004,9,0,5,1.5,300000,4,3,1,1,1,0,4
45783494,10663,888.488372093023,7,643,2009,9,1,2,1.8,230000,4,3,1,1,0,7,6
45809193,5620,447,3,425,2013,3,1,5,1.3,110467,4,0,1,1,0,14,4
41704944,19130,2148,6,252,2010,9,1,5,2,157000,4,0,1,1,0,7,10
45095136,9408,1111,3,425,2012,3,0,2,1.3,64000,4,3,1,1,1,1,4
45612423,3,673.483990147783,4,387,2011,9,1,5,1.8,80000,4,2,1,1,0,7,6
45768489,5959,1730,1,156,2011,9,1,5,2,246976,8,0,1,1,0,1,12
45731459,26594,777,4,526,2014,7,1,1,2.5,179918,4,0,1,1,0,12,4
45536422,36065,779,7,158,2013,9,1,2,2.5,92200,4,2,1,1,0,0,12
45768507,40142,1811,5,517,2010,4,1,5,4.6,357246,8,0,0,1,0,7,0
45506452,14000,585,4,387,2013,9,0,5,1.8,50000,4,2,1,1,0,7,10
45809707,17923,473,1,317,2014,9,1,5,1.4,127842,4,0,1,1,0,14,4
45804644,54518,831,4,817,2017,4,1,5,1.6,40193,4,0,1,1,0,1,4
45799440,8154,584,7,568,2002,3,0,5,1.3,115000,4,0,1,1,1,12,7
45758164,282,289,2,409,2008,4,1,2,0.4,220474,4,0,1,1,0,7,0
45813166,3450,1249,7,268,2017,9,1,5,2.5,60762,4,0,1,1,0,14,12
45804525,22063,836,4,817,2010,4,1,1,2,142264,4,0,1,1,0,14,4
45656681,2901,503,3,293,2012,9,1,2,1.5,146403,4,0,1,1,0,14,0
45812738,4704,585,7,298,2013,9,1,5,1.8,227371,4,0,1,1,0,12,12
45809446,16900,502,3,425,2013,3,1,5,1.5,70000,4,0,1,1,0,2,4
45770019,42651,1017,6,498,2017,4,1,5,2,44995,4,0,0,1,0,1,0
45813976,15524,586,7,643,2012,3,0,2,1.8,122324,4,0,1,1,0,11,7
45636297,17249,1888,0,87,2007,9,1,5,3,111111,6,2,2,1,0,7,10
45794250,73071,1055,5,514,2013,9,1,5,3.5,56000,6,2,2,1,0,1,12
45636962,862,333,2,465,2014,9,1,2,2,186048,4,0,1,1,0,1,0
45797238,28909,831,4,387,2017,9,1,1,1.6,98000,4,0,1,1,0,14,4
45732617,8467,642,4,748,2012,9,1,4,2,128965,4,0,1,1,0,1,4
32116317,50,749.991967871486,7,145,2013,9,0,2,1.5,130000,4,0,2,1,1,13,0
45803460,14426,639,4,748,2014,9,1,4,2,169024,4,0,1,1,0,14,4
45769197,30734,1053,6,361,2014,9,1,1,3.5,200179,6,0,0,1,0,1,12
45787509,22580,779,7,268,2013,9,1,5,2.5,156666,4,0,1,1,0,1,12
45760052,862,259,1,853,2014,4,1,2,1.4,133195,4,0,1,1,0,1,0
45809244,7464,247,3,425,2014,3,1,2,1.3,114950,4,0,1,1,0,2,4
45771034,1333,1091,2,465,2016,9,1,5,2.5,154850,4,0,1,1,0,1,12
45804881,59865,879,4,817,2019,4,1,1,1.6,13000,4,0,1,1,0,14,4
45765365,49237,1342,7,792,2017,4,1,5,2.7,94262,4,0,2,1,0,14,12
45796914,68223,1327,4,526,2018,10,1,1,2.5,27406,4,0,1,1,0,15,4
45771073,392,1017,6,355,2017,9,1,5,2,1600,4,0,2,1,0,1,12
45771597,22266,595.03007518797,2,465,2013,9,1,5,1.6,85500,4,0,1,1,0,1,8
45769046,2430,1598,6,361,2008,9,1,1,3,175614,6,0,2,1,0,1,12
45638142,282,333,2,465,2014,9,1,2,2,0,4,0,1,1,0,12,0
45807457,33556,765,6,201,2015,9,1,5,2,0,4,0,2,1,0,1,12
45815469,16308,1533.25,2,799,2008,6,0,1,2.2,180000,4,1,1,1,0,14,2
45539130,17719,1271.22222222222,7,268,2009,9,1,2,2.4,92000,4,2,1,1,0,13,8
45659883,43278,1514,5,516,2011,4,1,5,4.6,160138,8,0,0,1,0,14,0
45816131,470,1058,4,733,2012,4,1,5,3.5,197923,6,0,0,1,0,11,12
44810053,20385,738,1,317,2017,9,0,5,1.4,42000,4,2,1,2,0,1,12
45764759,941,1935,7,822,2016,4,1,5,4.6,254805,8,0,0,1,0,14,12
45804880,49858,1077,4,817,2019,4,1,1,2,48000,4,0,1,1,0,14,4
45813983,220,1055,6,209,2013,9,1,5,3.5,159250,6,0,2,1,0,1,12
45803575,9722,765,4,748,2015,9,1,4,2,128965,4,0,1,1,0,8,4
45787301,21326,862,6,250,2006,9,1,5,2,2000,8,0,2,1,0,7,12
45804856,51075,1017,4,817,2017,4,1,1,2,40800,4,0,1,1,0,14,4
45802041,15241,707,4,522,2011,1,1,5,2,117492,4,0,1,1,0,7,4
45635110,2587,382,2,465,2015,9,1,2,2,88795,4,0,1,1,0,1,0
45797839,15524,1347,4,526,2008,7,1,1,2.5,56769,4,0,1,1,0,12,4
45793323,27911,587.148148148148,6,191,2014,9,1,5,1.8,70000,4,2,2,1,0,0,8
45766543,4861,779,7,268,2013,9,1,2,2.5,136861,4,0,1,1,0,2,12
45782548,29793,1429.8433516297,6,710,2005,9,1,5,3.5,263000,4,0,2,1,0,1,0
45797924,18208,531,4,387,2012,9,1,5,1.6,95665,4,0,1,1,0,7,4
45811155,549,481,4,748,2017,9,1,2,2,107387,4,0,1,1,0,12,12
44006324,34497,779,7,684,2013,4,0,5,2.5,65350,4,2,1,1,0,14,12
45793908,4924,1282,1,289,2007,4,1,1,2,183923,4,0,1,1,0,12,4
45731752,43576,1091,4,526,2016,10,1,1,2.5,97129,4,0,1,1,0,12,4
45725280,7840,1553.57142857143,6,177,2001,9,1,0,2,140000,4,1,2,1,0,1,4
45115251,28225,1079,7,220,2018,4,0,5,2,24000,4,0,1,1,0,7,8
45800731,18817,738,1,317,2017,3,1,5,1.4,29094,4,0,1,1,0,7,0
45813862,4861,382,2,465,2015,9,1,2,2,148709,4,0,1,1,0,11,12
45810175,13172,1399,5,701,2010,4,1,2,3.5,186005,6,0,0,1,0,12,12
45342484,37320,1055,6,368,2013,9,1,5,3.5,156800,4,2,0,1,0,1,12
45751145,706,1017,2,409,2017,4,1,5,2,251430,4,0,1,1,0,2,12
45504338,39201,456,7,268,2015,9,1,2,2.5,35000,4,0,1,1,0,7,10
45797233,36426,880,4,387,2018,9,1,4,1.6,35643,4,0,1,1,0,14,4
45787913,8467,819.6,3,293,2006,3,0,5,1.8,250000,4,1,1,1,1,7,4
45798480,7840,1429.8433516297,6,240,2000,1,1,5,3.2,255000,6,2,2,0,0,12,4
45752253,12701,900,3,312,2015,4,1,5,2.4,117158,4,0,1,1,0,14,12
45548523,46414,456,7,157,2015,9,1,2,2.5,63645,4,2,1,1,0,14,12
45806590,45160,798,6,596,2015,4,1,1,2.1,197338,4,0,0,1,0,14,12
37082532,100,2467,0,56,2007,0,1,5,3,1123,6,2,0,0,0,1,12
45793536,12231,673.483990147783,4,387,2013,1,0,5,1.8,77000,6,1,1,0,0,0,0
45776871,5802,988,7,643,2007,3,1,2,1.5,140000,4,3,1,1,0,6,12
45815909,2901,1277,4,748,2018,9,1,5,2.4,45494,4,0,1,1,0,14,12
45767606,1882,442,7,643,2017,9,1,2,1.8,47672,4,0,1,1,0,14,12
45706976,11290,741.884259259259,3,425,2013,9,0,2,1.3,145000,4,0,1,1,1,12,8
43353662,6586,1529,0,30,1997,9,0,4,1.8,270000,4,1,2,1,0,6,2
45792706,14426,1271.22222222222,7,268,2006,9,1,2,2.4,188800,4,3,1,1,0,7,8
45749598,27284,1057.78571428571,7,274,2014,9,1,5,2.5,52000,4,2,1,1,0,1,12
45797343,7840,790,4,547,2009,3,1,5,1.6,140000,4,0,1,1,0,12,4
45815372,7840,1429.8433516297,6,331,1998,9,0,0,2,180003,4,1,2,1,0,1,4
45757416,282,289,2,409,2008,4,1,2,0.4,220474,4,0,1,1,0,7,0
45654682,1646,1292,6,502,2016,4,1,5,3,59099,6,0,0,1,0,14,0
45804791,24198,640,4,817,2013,4,1,1,2,124000,4,0,1,1,0,12,4
45809396,25365,502,3,425,2013,3,1,5,1.5,34682,4,0,1,1,0,7,4
45763292,1725,777,1,620,2014,9,1,5,2.5,310061,4,0,1,1,0,2,12
45806345,17249,586,7,643,2012,9,0,2,1.8,22400,4,0,1,1,0,14,8
45774174,470,1399,6,361,2010,9,1,5,3.5,229904,6,0,0,1,0,1,12
45756945,31361,639,4,748,2014,9,1,5,2,62000,4,2,1,1,0,14,12
45797127,4704,1047,4,387,2007,9,1,1,1.6,54279,4,0,1,1,0,12,4
45809778,12720,645,1,317,2011,9,1,5,1.8,135759,4,0,1,1,0,7,4
45804848,26372,640,4,817,2013,4,1,1,2,120534,4,0,1,1,0,12,4
45786770,13485,1711.27272727273,0,871,2003,4,1,4,3,189000,6,2,0,1,1,1,10
45730143,25591,528,4,387,2014,9,1,5,1.6,140000,4,0,1,1,0,14,4
45814808,6429,1211,6,201,2010,9,1,5,3,108517,6,0,0,1,0,14,12
45813961,251,1493,5,694,2016,4,1,5,3.5,107030,6,0,0,1,0,7,12
45764921,39829,1811,5,516,2010,4,1,5,4.6,155821,8,0,0,1,0,1,0
45620554,13172,1793,6,361,2011,9,1,1,2,325811,8,0,0,1,0,1,12
45524915,627,1077,7,220,2019,4,1,5,2,24339,4,0,1,1,0,2,12
45811316,12388,919,0,871,2012,4,1,1,3,420794,6,0,0,1,0,1,12
45782212,18503,792.627815866797,4,748,2012,9,0,2,2,280480,4,0,1,1,0,12,9
45624104,12231,574,3,560,2010,9,0,2,1.3,150000,4,3,1,1,0,1,12
42427923,40,1599.33333333333,3,425,2002,3,0,5,1.3,135000,4,3,1,1,1,1,4
45796881,17054,862,4,526,2011,10,1,1,2.5,237853,4,0,1,1,0,12,4
45801349,5300,1026.00733117836,3,790,2001,10,0,5,2,111000,4,0,1,1,1,1,6
45803109,9565,765,4,748,2015,9,1,4,2,42000,4,0,1,1,0,8,4
45810274,24302,765,1,620,2015,9,1,1,2,60618,4,0,1,1,0,1,4
45816654,18817,1271.22222222222,7,268,2009,9,1,5,2.4,230400,4,0,1,1,0,12,12
45682514,17249,1051,4,748,2016,9,0,5,2.4,77000,4,2,1,1,0,12,10
45732640,15530,891,4,748,2016,9,1,4,2,280016,4,0,1,1,0,12,4
45803334,11290,891,4,748,2016,9,1,4,2,270874,4,0,1,1,0,12,4
45235243,24148,582.788167938931,7,643,2013,3,0,2,1.8,118000,4,0,1,1,0,13,12
45732741,10036,639,4,748,2014,9,1,4,2,362868,4,0,1,1,0,12,4
45569356,18817,697,4,387,2015,9,0,5,1.8,85000,4,2,1,1,0,1,12
45757721,10349,308,5,258,2014,3,1,2,1.8,132563,4,0,1,1,0,11,0
45815351,549,1399,5,694,2010,4,1,5,3.5,138211,6,0,0,1,0,1,12
45803322,9252,765,4,748,2015,9,1,4,2,391625,4,0,1,1,0,8,4
45804868,55823,930,4,817,2018,4,1,1,1.7,38577,4,0,1,1,0,1,4
45491644,25089,757.14552238806,7,268,2013,9,1,5,2.5,132800,6,2,2,1,0,2,12
45802275,18669,862,4,526,2011,7,1,1,2.5,52686,4,0,1,1,0,12,4
45658776,941,1058,5,701,2012,4,1,2,3.5,232357,6,0,0,1,0,1,12
45788303,15053,1998,2,799,2001,6,0,1,2.4,253206,4,1,2,1,0,14,2
45809240,10660,271,3,425,2014,3,1,2,1.5,76525,4,0,1,1,0,2,4
45803780,37000,891,4,817,2016,4,1,1,2,80000,4,0,1,1,0,12,4
45617817,14583,1172,6,361,2011,9,1,1,3.5,230696,6,0,0,1,0,1,12
45537268,21012,1507.30769230769,6,837,2007,7,0,1,2.2,285000,4,1,2,1,0,11,4
45804512,22649,707,4,817,2011,4,1,1,2,142000,4,0,1,1,0,14,4
45802112,16590,862,4,526,2011,7,1,1,2.5,42415,4,0,1,1,0,14,4
45547620,31988,394,7,268,2014,9,0,2,2.5,51000,4,0,1,1,0,7,12
45694949,21012,456,7,268,2015,9,0,2,2.5,89000,4,3,1,1,0,12,0
45746583,10663,1266,3,425,2014,3,0,2,1.5,114000,4,0,1,1,1,14,8
45766463,220,1053,6,361,2014,9,1,1,3.5,95987,6,0,0,1,0,1,12
45793973,11900,1677,2,799,2003,6,1,1,2,195000,6,1,1,0,0,15,4
45810764,17876,1661,2,214,2013,3,1,2,2,120000,4,2,1,1,1,12,10
45766173,11604,741.884259259259,3,425,2010,3,0,2,1.3,157000,4,2,1,1,1,14,2
45814787,13799,1304,0,128,2005,9,1,5,2,240000,8,2,2,1,0,1,12
45804403,40769,1249,7,689,2017,4,0,5,2.5,76000,4,2,0,1,0,1,12
45654585,7997,1850,5,696,2008,4,1,2,3.5,244731,6,0,1,1,0,1,12
45761649,7840,666.666666666667,6,345,1995,9,0,1,2.5,410918,2,1,1,1,0,14,2
45793535,11917,741.884259259259,3,425,2011,3,0,2,1.3,188000,4,0,1,1,1,2,8
45732782,12777,640,4,748,2013,9,1,5,2,162558,4,0,1,1,0,1,4
45806608,18817,455.705882352941,7,651,2013,3,0,2,1.5,130000,4,0,1,1,0,11,12
45787228,23521,781,7,268,2012,9,1,2,2.5,83000,4,3,1,1,0,12,10
