Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Age,Miles_per_year,Brand_Model
23235,707.0,HYUNDAI,Santa FE,2011,Jeep,1,Diesel,2.0,162000,4,Automatic,Front,4,Left wheel,Grey,4,14,11571.42857142857,HYUNDAI_Santa FE
51746,1077.0,TOYOTA,CHR Limited,2019,Jeep,0,Petrol,2.0,10200,4,Tiptronic,Front,4,Left wheel,Red,12,6,1700.0,TOYOTA_CHR Limited
7527,1486.0,HONDA,FIT,2010,Hatchback,0,Hybrid,1.3,158000,4,Automatic,Front,4,Right-hand drive,Black,4,15,10533.333333333334,HONDA_FIT
19121,531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,103490,4,Automatic,Front,4,Left wheel,Silver,4,13,7960.7692307692305,HYUNDAI_Elantra
314,1399.0,LEXUS,RX 450,2010,Jeep,1,Hybrid,3.5,382746,6,Automatic,4x4,4,Left wheel,Silver,12,15,25516.4,LEXUS_RX 450
24462,751.0,TOYOTA,Camry,2013,Sedan,1,Petrol,2.4,203200,4,Automatic,Front,4,Left wheel,Blue,4,12,16933.333333333332,TOYOTA_Camry
45734,1091.0,HYUNDAI,H1,2016,Universal,1,Diesel,2.5,61057,4,Automatic,Front,4,Left wheel,Black,4,9,6784.111111111111,HYUNDAI_H1
21326,382.0,HYUNDAI,Sonata,2014,Sedan,1,Hybrid,2.4,141000,4,Tiptronic,Front,4,Left wheel,White,12,11,12818.181818181818,HYUNDAI_Sonata
220,1194.0,TOYOTA,Tacoma,2013,Jeep,1,Petrol,4.0,239342,6,Automatic,4x4,4,Left wheel,Silver,12,12,19945.166666666668,TOYOTA_Tacoma
15681,503.0,TOYOTA,Prius C,2012,Hatchback,0,Hybrid,1.5,128000,4,Variator,Front,4,Left wheel,Sky blue,8,13,9846.153846153846,TOYOTA_Prius C
55390,1017.0,HYUNDAI,Santa FE,2017,Jeep,1,Diesel,2.0,100734,4,Automatic,Front,4,Left wheel,Black,4,8,12591.75,HYUNDAI_Santa FE
12544,,TOYOTA,Aqua,2012,Hatchback,0,Hybrid,1.5,141500,4,Automatic,Front,4,Right-hand drive,Black,8,13,10884.615384615385,TOYOTA_Aqua
17249,,FORD,Escape Hybrid,2008,Jeep,0,Hybrid,2.3,147000,4,Variator,4x4,4,Left wheel,White,8,17,8647.058823529413,FORD_Escape Hybrid
34889,891.0,HONDA,Civic,2016,Sedan,1,Petrol,2.0,87768,4,Automatic,Front,4,Left wheel,Blue,4,9,9752.0,HONDA_Civic
392,1017.0,MERCEDES-BENZ,E 300,2017,Sedan,1,Petrol,2.0,1600,4,Automatic,Rear,4,Left wheel,Black,12,8,200.0,MERCEDES-BENZ_E 300
8781,,MERCEDES-BENZ,C 180,2001,Coupe,0,Petrol,2.0,260000,4,Manual,Rear,2,Left wheel,Blue,0,24,10833.333333333334,MERCEDES-BENZ_C 180
87112,,MERCEDES-BENZ,GLA 250,2019,Jeep,1,Petrol,2.0,5323,4,Tiptronic,4x4,4,Left wheel,Grey,0,6,887.1666666666666,MERCEDES-BENZ_GLA 250
392,919.0,BMW,535,2012,Sedan,1,Petrol,3.0,204318,6,Automatic,Rear,4,Left wheel,Black,12,13,15716.76923076923,BMW_535
23521,781.0,CHEVROLET,Cruze LT,2018,Sedan,0,Petrol,1.4,22000,4,Automatic,Front,4,Left wheel,Red,6,7,3142.8571428571427,CHEVROLET_Cruze LT
16935,530.0,FORD,Fusion,2013,Sedan,0,Petrol,1.6,83000,4,Tiptronic,Front,4,Left wheel,Silver,8,12,6916.666666666667,FORD_Fusion
10349,,TOYOTA,VOXY,2007,Minivan,1,Petrol,2.4,170000,4,Automatic,Front,4,Right-hand drive,Black,6,18,9444.444444444445,TOYOTA_VOXY
5331,,MERCEDES-BENZ,A 160,2004,Sedan,0,Petrol,1.6,130000,4,Tiptronic,Front,4,Left wheel,Black,6,21,6190.476190476191,MERCEDES-BENZ_A 160
20526,640.0,HYUNDAI,Tucson,2013,Jeep,1,Diesel,2.0,200279,4,Automatic,Front,4,Left wheel,Grey,4,12,16689.916666666668,HYUNDAI_Tucson
9722,765.0,HYUNDAI,Sonata,2015,Sedan,1,LPG,2.0,719847,4,Automatic,Front,4,Left wheel,Orange,4,10,71984.7,HYUNDAI_Sonata
34657,777.0,HYUNDAI,H1,2014,Minivan,1,Diesel,2.5,154672,4,Automatic,Front,4,Left wheel,Silver,4,11,14061.09090909091,HYUNDAI_H1
36564,1091.0,HYUNDAI,H1,2016,Minivan,1,Diesel,2.5,110969,4,Automatic,Front,4,Left wheel,Black,4,9,12329.888888888889,HYUNDAI_H1
314,779.0,TOYOTA,Camry,2013,Sedan,1,Hybrid,2.5,225510,4,Automatic,Front,4,Left wheel,White,12,12,18792.5,TOYOTA_Camry
5488,,TOYOTA,Vitz,2001,Hatchback,0,Petrol,1.5,210000,4,Manual,Front,4,Right-hand drive,Sky blue,3,24,8750.0,TOYOTA_Vitz
30063,934.0,HYUNDAI,H1,2015,Universal,1,Diesel,2.5,148105,4,Automatic,Front,4,Left wheel,Silver,4,10,14810.5,HYUNDAI_H1
15800,769.0,CHEVROLET,Captiva,2011,Jeep,1,Diesel,2.2,255456,4,Automatic,Front,4,Left wheel,Silver,4,14,18246.85714285714,CHEVROLET_Captiva
43952,1249.0,HYUNDAI,H1,2017,Universal,1,Diesel,2.5,111643,4,Automatic,Front,4,Left wheel,Grey,4,8,13955.375,HYUNDAI_H1
53154,891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,84506,4,Automatic,Front,4,Left wheel,Silver,4,9,9389.555555555555,HYUNDAI_Santa FE
14740,645.0,TOYOTA,Prius,2011,Hatchback,0,Hybrid,1.8,288000,4,Automatic,Front,4,Left wheel,White,8,14,20571.428571428572,TOYOTA_Prius
42337,,FORD,Mustang,2016,Cabriolet,1,Petrol,2.3,75000,4,Tiptronic,Rear,2,Left wheel,Silver,6,9,8333.333333333334,FORD_Mustang
3763,1053.0,MERCEDES-BENZ,ML 350,2014,Jeep,1,Petrol,3.5,94362,6,Automatic,Rear,4,Left wheel,White,12,11,8578.363636363636,MERCEDES-BENZ_ML 350
18189,,TOYOTA,Prius,2012,Sedan,0,Petrol,1.8,175000,4,Automatic,Front,4,Left wheel,Silver,8,13,13461.538461538461,TOYOTA_Prius
862,2455.0,LEXUS,GX 470,2008,Jeep,1,Petrol,4.7,263190,8,Automatic,4x4,4,Left wheel,White,0,17,15481.764705882353,LEXUS_GX 470
220,1185.0,FORD,Escape,2009,Jeep,1,Hybrid,2.5,193614,4,Automatic,Front,4,Left wheel,White,0,16,12100.875,FORD_Escape
5645,1324.0,TOYOTA,Highlander,2010,Jeep,1,Hybrid,3.3,264877,6,Automatic,4x4,4,Left wheel,White,12,15,17658.466666666667,TOYOTA_Highlander
7527,830.0,TOYOTA,Yaris,2019,Sedan,1,Petrol,1.5,27656,4,Automatic,Front,4,Left wheel,White,12,6,4609.333333333333,TOYOTA_Yaris
21953,1187.0,HONDA,Civic,2014,Sedan,0,Hybrid,1.4,16000,8,Automatic,4x4,4,Right-hand drive,White,10,11,1454.5454545454545,HONDA_Civic
8154,,HONDA,Cr-v,1998,Jeep,0,Petrol,2.0,0,4,Automatic,4x4,4,Right-hand drive,White,2,27,0.0,HONDA_Cr-v
21953,781.0,TOYOTA,Camry,2012,Sedan,0,Petrol,2.5,195053,4,Automatic,Front,4,Left wheel,Black,0,13,15004.076923076924,TOYOTA_Camry
19121,531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,121362,4,Automatic,Front,4,Left wheel,Black,4,13,9335.538461538461,HYUNDAI_Elantra
36065,639.0,HYUNDAI,Santa FE,2014,Jeep,1,Diesel,2.0,69191,4,Automatic,Front,4,Left wheel,White,4,11,6290.090909090909,HYUNDAI_Santa FE
8781,1111.0,HONDA,FIT,2012,Hatchback,1,Hybrid,1.3,83000,4,Tiptronic,Front,4,Right-hand drive,Green,12,13,6384.615384615385,HONDA_FIT
6247,760.0,CHEVROLET,Cruze,2010,Sedan,1,Petrol,1.8,40772,4,Automatic,Front,4,Left wheel,Black,4,15,2718.133333333333,CHEVROLET_Cruze
16289,642.0,CHEVROLET,Orlando,2012,Jeep,1,Diesel,2.0,172000,4,Automatic,Front,4,Left wheel,Grey,4,13,13230.76923076923,CHEVROLET_Orlando
77775,1604.0,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,1,Petrol,5.5,433811,8,Automatic,4x4,4,Left wheel,Black,10,11,39437.36363636364,MERCEDES-BENZ_GL 63 AMG
2822,,BMW,520 Vanos,1995,Sedan,1,Petrol,2.0,350000,6,Manual,Rear,4,Left wheel,Blue,2,30,11666.666666666666,BMW_520 Vanos
27284,891.0,HYUNDAI,Elantra,2016,Sedan,0,Petrol,2.0,105394,4,Tiptronic,Front,4,Left wheel,Black,12,9,11710.444444444445,HYUNDAI_Elantra
32929,,BMW,428 Sport Line,2013,Coupe,1,Petrol,2.0,160000,4,Automatic,Rear,2,Left wheel,Black,12,12,13333.333333333334,BMW_428 Sport Line
4234,,HONDA,Civic,1997,Hatchback,1,Petrol,1.4,0,4,Manual,Front,2,Left wheel,Blue,6,28,0.0,HONDA_Civic
15053,,MERCEDES-BENZ,E 320,2004,Sedan,1,Petrol,3.2,214000,6,Tiptronic,Rear,4,Left wheel,Grey,8,21,10190.47619047619,MERCEDES-BENZ_E 320
15458,966.0,HYUNDAI,Genesis,2009,Coupe,1,Petrol,2.0,123346,4,Automatic,Front,4,Left wheel,Black,4,16,7709.125,HYUNDAI_Genesis
2901,473.0,CHEVROLET,Cruze,2014,Sedan,1,Petrol,1.4,80827,4,Automatic,Front,4,Left wheel,Green,12,11,7347.909090909091,CHEVROLET_Cruze
314,382.0,FORD,Fusion,2015,Sedan,1,Hybrid,2.0,91760,4,Automatic,Front,4,Left wheel,Black,12,10,9176.0,FORD_Fusion
15681,1811.0,LEXUS,GX 460,2010,Jeep,1,Petrol,4.6,275240,8,Automatic,4x4,4,Left wheel,Silver,0,15,18349.333333333332,LEXUS_GX 460
26657,,MERCEDES-BENZ,Sprinter,2004,Microbus,0,Diesel,2.2,300000,4,Manual,Rear,4,Left wheel,White,1,21,14285.714285714286,MERCEDES-BENZ_Sprinter
10663,988.0,TOYOTA,Prius,2007,Hatchback,0,Petrol,1.5,318400,4,Automatic,Front,4,Left wheel,Silver,6,18,17688.88888888889,TOYOTA_Prius
12858,765.0,FORD,Focus SE,2015,Sedan,0,Petrol,2.0,91200,4,Automatic,Front,4,Left wheel,Sky blue,10,10,9120.0,FORD_Focus SE
1019,917.0,BMW,X5,2013,Jeep,1,Diesel,3.0,137802,6,Automatic,4x4,4,Left wheel,Black,12,12,11483.5,BMW_X5
549,917.0,BMW,535,2013,Sedan,1,Hybrid,3.0,151586,6,Automatic,Rear,4,Left wheel,White,12,12,12632.166666666666,BMW_535
15000,,BMW,328,2008,Sedan,1,CNG,3.0,210408,6,Tiptronic,Rear,4,Left wheel,White,12,17,12376.941176470587,BMW_328
85553,1156.0,FORD,Explorer,2017,Jeep,1,Petrol,2.3,100567,4,Automatic,Front,4,Left wheel,Black,4,8,12570.875,FORD_Explorer
44752,1091.0,HYUNDAI,H1,2016,Universal,1,Diesel,2.5,86000,4,Automatic,Front,4,Left wheel,Grey,4,9,9555.555555555555,HYUNDAI_H1
17158,687.0,HYUNDAI,Elantra,2010,Sedan,1,Petrol,1.6,122740,4,Automatic,Front,4,Left wheel,White,4,15,8182.666666666667,HYUNDAI_Elantra
11917,11714.0,MERCEDES-BENZ,E 500 AMG,2003,Sedan,1,Petrol,5.0,150000,12,Tiptronic,Rear,4,Right-hand drive,White,12,22,6818.181818181818,MERCEDES-BENZ_E 500 AMG
94,,HONDA,FIT,2003,Hatchback,0,Petrol,1.5,178000,4,Variator,Front,4,Right-hand drive,Silver,4,22,8090.909090909091,HONDA_FIT
14897,836.0,HYUNDAI,Santa FE,2010,Jeep,1,Diesel,2.0,58962,4,Automatic,Front,4,Left wheel,White,4,15,3930.8,HYUNDAI_Santa FE
23521,779.0,TOYOTA,Camry,2013,Sedan,1,Hybrid,2.5,90000,4,Tiptronic,Front,4,Left wheel,White,12,12,7500.0,TOYOTA_Camry
1019,1537.0,TOYOTA,Highlander,2009,Sedan,1,Hybrid,3.3,318358,6,Automatic,4x4,4,Left wheel,Black,12,16,19897.375,TOYOTA_Highlander
16935,765.0,FORD,Fusion,2015,Sedan,1,Petrol,2.0,71454,4,Automatic,Front,4,Left wheel,Black,0,10,7145.4,FORD_Fusion
19444,781.0,TOYOTA,Camry,2012,Sedan,1,Petrol,2.5,0,4,Tiptronic,Front,4,Left wheel,Black,6,13,0.0,TOYOTA_Camry
11604,639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,2.0,346470,4,Automatic,Front,4,Left wheel,Silver,4,11,31497.272727272728,HYUNDAI_Sonata
51965,891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,59515,4,Automatic,Front,4,Left wheel,Blue,4,9,6612.777777777777,HYUNDAI_Santa FE
706,394.0,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,115312,4,Automatic,Front,4,Left wheel,Grey,12,11,10482.90909090909,TOYOTA_Camry
9408,,MERCEDES-BENZ,C 220,1999,Sedan,0,Diesel,2.2,111111,4,Manual,Rear,4,Left wheel,Silver,4,26,4273.5,MERCEDES-BENZ_C 220
13328,1347.0,HYUNDAI,H1,2008,Minivan,1,Diesel,2.5,74444,4,Automatic,Front,4,Left wheel,Yellow,4,17,4379.058823529412,HYUNDAI_H1
20071,,TOYOTA,RAV 4,2008,Jeep,0,Petrol,2.4,135000,4,Automatic,4x4,4,Left wheel,Silver,8,17,7941.176470588235,TOYOTA_RAV 4
22894,862.0,HYUNDAI,H1,2011,Minivan,1,Diesel,2.5,124444,4,Automatic,Front,4,Left wheel,Yellow,4,14,8888.857142857143,HYUNDAI_H1
2901,503.0,HONDA,Civic,2012,Sedan,1,Hybrid,1.5,146403,4,Automatic,Front,4,Left wheel,White,0,13,11261.76923076923,HONDA_Civic
39829,1811.0,LEXUS,GX 460,2010,Jeep,1,Petrol,4.6,155821,8,Automatic,4x4,4,Left wheel,Black,0,15,10388.066666666668,LEXUS_GX 460
706,1646.0,LEXUS,GX 460,2015,Jeep,1,Petrol,4.6,102907,8,Automatic,4x4,4,Left wheel,Black,0,10,10290.7,LEXUS_GX 460
18660,,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,130000,4,Tiptronic,Front,4,Left wheel,Black,6,12,10833.333333333334,HYUNDAI_Sonata
22580,1017.0,MERCEDES-BENZ,E 300,2017,Sedan,1,Petrol,2.0,50930,4,Automatic,Rear,4,Left wheel,Black,12,8,6366.25,MERCEDES-BENZ_E 300
11604,639.0,HYUNDAI,Sonata,2014,Sedan,1,LPG,2.0,264872,4,Automatic,Front,4,Left wheel,Silver,4,11,24079.272727272728,HYUNDAI_Sonata
314,259.0,CHEVROLET,Volt,2014,Hatchback,1,Hybrid,1.4,131893,4,Automatic,Front,4,Left wheel,Brown,0,11,11990.272727272728,CHEVROLET_Volt
4300,,MERCEDES-BENZ,208,1985,Universal,0,Diesel,2.5,1111111,4,Manual,Rear,4,Left wheel,Black,1,40,27777.775,MERCEDES-BENZ_208
18817,609.0,TOYOTA,Camry,2018,Sedan,1,Hybrid,2.5,35058,4,Automatic,Front,4,Left wheel,White,12,7,5008.285714285715,TOYOTA_Camry
21169,697.0,HONDA,Hr-v EX,2015,Jeep,0,Petrol,1.8,33330,4,Automatic,4x4,4,Left wheel,Grey,8,10,3333.0,HONDA_Hr-v EX
17876,585.0,HYUNDAI,Elantra sport limited,2013,Sedan,1,Petrol,1.8,117920,4,Tiptronic,Front,4,Left wheel,Grey,12,12,9826.666666666666,HYUNDAI_Elantra sport limited
11290,891.0,HYUNDAI,Sonata,2016,Sedan,1,LPG,2.0,279787,4,Automatic,Front,4,Left wheel,Silver,4,9,31087.444444444445,HYUNDAI_Sonata
36065,1399.0,TOYOTA,Sienna,2010,Minivan,1,Petrol,3.5,227200,6,Tiptronic,Front,4,Left wheel,White,16,15,15146.666666666666,TOYOTA_Sienna
862,394.0,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,130478,4,Automatic,Front,4,Left wheel,White,12,11,11861.636363636364,TOYOTA_Camry
21395,781.0,HYUNDAI,H1,2012,Universal,1,Diesel,2.5,166144,4,Automatic,Front,4,Left wheel,Silver,4,13,12780.307692307691,HYUNDAI_H1
15681,891.0,HYUNDAI,Sonata,2016,Sedan,1,LPG,2.0,258706,4,Automatic,Front,4,Left wheel,Silver,4,9,28745.11111111111,HYUNDAI_Sonata
627,475.0,CHEVROLET,Volt,2012,Jeep,1,Hybrid,1.4,188419,4,Automatic,Front,4,Left wheel,Red,0,13,14493.76923076923,CHEVROLET_Volt
40070,690.0,TOYOTA,Aqua,2016,Hatchback,1,Petrol,1.5,25807,4,Automatic,Front,4,Left wheel,Black,4,9,2867.4444444444443,TOYOTA_Aqua
11917,,MERCEDES-BENZ,A 170,2008,Hatchback,0,Petrol,1.7,180000,4,Automatic,Front,4,Left wheel,Golden,8,17,10588.235294117647,MERCEDES-BENZ_A 170
72130,1079.0,LEXUS,NX 300,2018,Jeep,1,Petrol,2.0,18918,4,Tiptronic,Front,4,Left wheel,Black,6,7,2702.5714285714284,LEXUS_NX 300
21012,308.0,TOYOTA,Prius,2014,Sedan,0,Hybrid,1.8,160000,4,Automatic,4x4,4,Left wheel,White,4,11,14545.454545454546,TOYOTA_Prius
21012,1823.0,TOYOTA,Tacoma,2018,Sedan,1,Petrol,3.5,27358,6,Automatic,Front,4,Left wheel,Grey,12,7,3908.285714285714,TOYOTA_Tacoma
15624,707.0,HYUNDAI,Genesis,2011,Coupe,1,Petrol,2.0,107005,4,Automatic,Front,4,Left wheel,Grey,4,14,7643.214285714285,HYUNDAI_Genesis
20005,531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,104997,4,Automatic,Front,4,Left wheel,White,4,13,8076.692307692308,HYUNDAI_Elantra
7840,,MERCEDES-BENZ,E 240 E 240,1998,Sedan,1,Petrol,2.4,777777,6,Manual,Rear,4,Left wheel,Blue,4,27,28806.555555555555,MERCEDES-BENZ_E 240 E 240
43880,891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,113700,4,Automatic,Front,4,Left wheel,Silver,4,9,12633.333333333334,HYUNDAI_Santa FE
29479,584.0,MERCEDES-BENZ,C 250,2014,Sedan,1,Petrol,1.8,69000,4,Tiptronic,Rear,4,Left wheel,Grey,8,11,6272.727272727273,MERCEDES-BENZ_C 250
17249,,TOYOTA,Camry,2011,Sedan,1,Hybrid,2.5,152000,4,Variator,Front,4,Left wheel,White,12,14,10857.142857142857,TOYOTA_Camry
9408,,TOYOTA,Vitz funkargo,2003,Universal,0,Petrol,1.5,181926,4,Automatic,4x4,4,Right-hand drive,Silver,2,22,8269.363636363636,TOYOTA_Vitz funkargo
44213,891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,50255,4,Automatic,Front,4,Left wheel,Red,4,9,5583.888888888889,HYUNDAI_Santa FE
8467,2078.0,BMW,325,2001,Sedan,1,Petrol,2.5,252800,6,Manual,Rear,4,Left wheel,Grey,6,24,10533.333333333334,BMW_325
21950,831.0,FORD,Transit,2011,Goods wagon,0,Diesel,2.4,125000,4,Manual,4x4,4,Left wheel,White,2,14,8928.57142857143,FORD_Transit
3136,473.0,CHEVROLET,Cruze,2014,Sedan,1,Petrol,1.4,156992,4,Automatic,Front,4,Left wheel,Black,12,11,14272.0,CHEVROLET_Cruze
314,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,3.5,149486,6,Automatic,4x4,4,Left wheel,Silver,12,11,13589.636363636364,MERCEDES-BENZ_E 350
7840,,MERCEDES-BENZ,Vaneo,2004,Universal,0,LPG,1.9,170000,4,Tiptronic,Front,4,Left wheel,Silver,4,21,8095.238095238095,MERCEDES-BENZ_Vaneo
56450,,TOYOTA,Camry Se,2018,Sedan,1,Petrol,2.5,25000,4,Tiptronic,Front,4,Left wheel,Blue,12,7,3571.4285714285716,TOYOTA_Camry Se
627,836.0,TOYOTA,Tacoma,2012,Sedan,1,Petrol,2.7,394069,4,Automatic,Rear,4,Left wheel,Black,12,13,30313.0,TOYOTA_Tacoma
314,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,3.5,149486,6,Automatic,4x4,4,Left wheel,Silver,12,11,13589.636363636364,MERCEDES-BENZ_E 350
13172,,HONDA,Cr-v,2002,Jeep,0,Petrol,2.4,260000,4,Automatic,4x4,4,Left wheel,Silver,6,23,11304.347826086956,HONDA_Cr-v
706,751.0,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,175827,4,Automatic,Front,4,Left wheel,Black,12,12,14652.25,HYUNDAI_Sonata
5802,1055.0,MERCEDES-BENZ,E 350,2013,Sedan,1,Diesel,3.5,107800,6,Automatic,Rear,4,Left wheel,Grey,12,12,8983.333333333334,MERCEDES-BENZ_E 350
25716,777.0,TOYOTA,Camry,2014,Sedan,0,Petrol,2.5,115200,4,Automatic,Front,4,Left wheel,Silver,8,11,10472.727272727272,TOYOTA_Camry
14426,642.0,CHEVROLET,Orlando,2012,Jeep,1,LPG,2.0,132036,4,Automatic,Front,4,Left wheel,White,4,13,10156.615384615385,CHEVROLET_Orlando
10820,,TOYOTA,RAV 4,2001,Jeep,0,Petrol,2.0,91000,4,Automatic,4x4,2,Right-hand drive,Silver,4,24,3791.6666666666665,TOYOTA_RAV 4
45436,1172.0,FORD,Explorer,2011,Jeep,1,Petrol,3.5,129177,4,Automatic,Front,4,Left wheel,White,4,14,9226.92857142857,FORD_Explorer
11917,893.0,HYUNDAI,I30,2008,Hatchback,0,Diesel,1.6,201000,4,Manual,Front,4,Left wheel,Black,8,17,11823.529411764706,HYUNDAI_I30
41281,765.0,HYUNDAI,Santa FE,2015,Jeep,1,Diesel,2.0,185811,4,Automatic,Front,4,Left wheel,Black,4,10,18581.1,HYUNDAI_Santa FE
